期号,红球,蓝球
2014135,"02,04,11,13,25,33",1
2014136,"03,16,19,27,31,32",10
2014137,"03,06,09,11,25,29",9
2014138,"04,06,13,29,31,33",13
2014139,"01,14,15,20,25,29",11
2014140,"06,10,11,14,17,33",6
2014141,"08,09,11,16,21,24",10
2014142,"06,21,22,23,25,28",13
2014143,"03,12,18,20,25,26",16
2014144,"03,05,06,09,10,27",14
2014145,"10,12,13,23,26,29",11
2014146,"01,06,13,20,29,32",1
2014147,"06,07,22,26,31,32",10
2014148,"01,02,05,12,15,16",13
2014149,"07,09,10,15,19,33",1
2014150,"03,08,14,22,24,32",9
2014151,"04,05,08,11,21,27",8
2014152,"08,13,15,20,21,25",12
2015001,"01,07,09,16,20,23",6
2015002,"07,15,16,25,28,32",5
2015003,"10,15,20,23,24,31",15
2015004,"02,14,15,16,23,24",10
2015005,"07,10,16,17,18,32",15
2015006,"01,10,11,29,31,33",13
2015007,"01,07,09,17,20,33",8
2015008,"04,07,10,16,20,22",3
2015009,"04,07,14,17,21,25",14
2015010,"01,02,03,08,21,31",9
2015011,"04,14,15,17,18,20",15
2015012,"03,05,22,23,29,31",6
2015013,"08,09,24,25,26,29",1
2015014,"02,12,16,19,27,30",11
2015015,"01,07,20,24,25,33",4
2015016,"02,06,10,15,17,31",13
2015017,"13,18,20,25,27,33",12
2015018,"06,09,12,14,28,29",9
2015019,"02,06,11,19,25,26",4
2015020,"01,04,07,19,22,23",4
2015021,"14,15,16,17,27,28",8
2015022,"04,07,10,16,23,25",10
2015023,"08,09,10,13,29,30",1
2015024,"09,11,16,18,23,24",10
2015025,"10,11,12,15,27,32",14
2015026,"02,13,17,21,22,33",13
2015027,"05,07,09,16,26,29",7
2015028,"04,07,10,26,27,28",14
2015029,"07,14,15,19,21,28",7
2015030,"08,11,14,15,16,26",7
2015031,"01,05,07,22,26,32",11
2015032,"11,14,16,18,29,32",16
2015033,"03,06,21,29,31,32",5
2015034,"12,13,17,18,20,27",13
2015035,"01,08,09,22,24,33",3
2015036,"04,06,16,17,26,33",3
2015037,"05,07,12,18,28,31",3
2015038,"05,06,11,12,14,33",14
2015039,"01,13,15,26,29,30",12
2015040,"13,16,18,27,30,32",16
2015041,"04,09,11,17,21,25",6
2015042,"09,10,19,21,23,32",8
2015043,"11,12,15,24,26,27",15
2015044,"02,03,04,13,14,16",2
2015045,"01,05,13,22,30,31",7
2015046,"05,07,10,14,23,31",1
2015047,"02,03,20,24,26,27",9
2015048,"13,16,17,22,25,27",10
2015049,"07,12,14,17,20,23",5
2015050,"03,09,12,16,17,31",4
2015051,"04,10,24,26,28,32",9
2015052,"02,04,11,16,25,26",12
2015053,"03,07,17,22,32,33",10
2015054,"01,02,07,10,22,26",7
2015055,"01,10,15,18,19,28",2
2015056,"01,07,08,16,18,20",14
2015057,"09,20,24,25,26,32",4
2015058,"02,09,10,18,19,20",15
2015059,"02,06,09,16,25,32",14
